pair,hedge_ratio,spread_mean,spread_std
"('BAC', 'STT')",0.8357796110922576,-0.00018031749560521598,0.025364183481089035
"('MMM', 'ALLE')",1.0592010665240459,-5.820611372169588e-05,0.03595744638244564
"('AME', 'APH')",1.1243702777649622,0.0002750039453859656,0.03354050971703515
"('CARR', 'FRC')",0.7374160807710429,-0.0007953214656391547,0.050380613155344936
"('ADI', 'TMO')",0.8000820684962238,-3.553169682407157e-05,0.03562695215966188
"('AMGN', 'WEC')",1.1872986129939653,0.00012149396104654467,0.03734431200921372
"('BDX', 'PEG')",1.3193059672202747,0.0004342452900199743,0.04391666639848565
"('ATO', 'ED')",1.041529918031404,0.0002676405711393838,0.030732818837764946
"('ADP', 'AJG')",1.0570409749124405,9.75814742989467e-05,0.03807415988558942
"('BAX', 'WBA')",1.1329036020070637,0.0006153154635313226,0.04903605839610638
"('AWK', 'TXN')",0.9785323253506645,9.330053070040764e-05,0.04099490664116975
"('ANSS', 'BLK')",0.8665723561477938,-0.0010623663357289498,0.06490871079405756
"('CB', 'TRV')",1.0333649481528544,0.00010007027368629822,0.02093499531823132
"('AMP', 'RF')",1.8229415830640512,0.001441616978329369,0.07063869682729924
"('AIG', 'BSX')",1.0804048627863843,0.00014696408251990524,0.04460683995658723
"('AXP', 'PRU')",1.0970274860598266,2.9277297330900153e-05,0.03522570730405064
"('ADBE', 'KMX')",1.3144802366544486,0.0013505708346704542,0.0663151933294827
